date,ukraine_3y_yield,ukraine_3y_change_pct
2019-01-31,18.96608695652174,-0.0782608695652174
2019-02-28,18.2585,-0.35
2019-03-31,16.866190476190475,-0.0228571428571428
2019-04-30,18.354090909090907,0.349090909090909
2019-05-31,18.03391304347826,18.66782608695652
2019-06-30,17.6155,14.379500000000002
2019-07-31,17.731739130434782,19.57260869565217
2019-08-31,17.43318181818182,18.904090909090908
2019-09-30,16.806666666666665,0.0771428571428571
2019-10-31,16.333913043478262,19.414782608695653
2019-11-30,14.597619047619048,0.1795238095238095
2019-12-31,13.504772727272728,26.576818181818183
2020-01-31,11.21195652173913,67.96173913043478
2020-02-29,10.6665,-0.104
2020-03-31,19.792727272727276,23.514545454545456
2020-04-30,18.545454545454547,16.90909090909091
2020-05-31,13.68404761904762,54.78523809523809
2020-06-30,11.650454545454544,65.58636363636364
2020-07-31,13.313913043478262,-0.0639130434782608
2020-08-31,12.166666666666666,33.20333333333333
2020-09-30,11.585909090909093,-0.0286363636363636
2020-10-31,11.97,29.53227272727273
2020-11-30,12.531904761904762,50.94666666666667
2020-12-31,12.612608695652172,21.096086956521734
2021-01-31,12.5915,60.886
2021-02-28,12.9115,-0.0729999999999999
2021-03-31,12.75695652173913,22.9
2021-04-30,13.34318181818182,0.0318181818181818
2021-05-31,13.171666666666669,46.69857142857144
2021-06-30,12.908863636363636,47.87590909090909
2021-07-31,13.037727272727272,-0.0454545454545454
2021-08-31,13.29608695652174,45.29260869565218
2021-09-30,13.363636363636363,-0.0136363636363636
2021-10-31,13.528,32.1895
2021-11-30,13.59909090909091,54.685909090909085
2021-12-31,13.82108695652174,26.35652173913044
2022-01-31,14.952380952380953,84.50142857142858
2022-02-28,18.916,-1.0074999999999998
2022-03-31,65.12521739130435,-1.995217391304348
2022-04-30,51.50095238095238,0.995238095238095
2022-05-31,60.2475,0.0445454545454545
2022-06-30,63.85318181818182,-0.1436363636363636
2022-07-31,63.68285714285714,-0.8552380952380952
2022-08-31,43.17117647058824,4.5717647058823525
2022-09-30,24.571428571428573,0.4614285714285717
2022-10-31,26.0,9.7
2022-11-30,31.5,-11.5375
2022-12-31,37.0,12.080000000000002
2023-01-31,30.11111111111111,2.2533333333333334
2023-02-28,29.72222222222222,0.0755555555555554
2023-03-31,30.681818181818183,0.2445454545454545
2023-04-30,27.95833333333333,0.9366666666666666
2023-05-31,20.80205882352941,10.971176470588237
2023-06-30,22.145454545454545,0.8181818181818182
2023-07-31,21.028181818181817,12.24818181818182
2023-08-31,21.093695652173917,-0.0752173913043478
2023-09-30,21.494285714285716,0.0838095238095237
2023-10-31,19.71909090909091,0.3968181818181817
2023-11-30,19.196363636363635,-0.3059090909090909
2023-12-31,17.714285714285715,0.4547619047619048
2024-01-31,17.132826086956523,0.0630434782608694
2024-02-29,17.218571428571426,-0.0533333333333333
2024-03-31,17.254761904761907,0.0757142857142857
2024-04-30,17.874545454545455,-0.0522727272727272
2024-05-31,25.18913043478261,0.5526086956521742
2024-06-30,32.260000000000005,0.336
2024-07-31,31.936304347826084,1.0295652173913044
2024-08-31,31.84113636363636,4.546818181818182
2024-09-30,24.443809523809527,0.4461904761904761
2024-10-31,24.011739130434783,0.0021739130434782
2024-11-30,23.962857142857143,0.0561904761904761
2024-12-31,23.63,0.0109090909090909
2025-01-31,8.501739130434782,-0.1317391304347826
2025-02-28,13.8695,-3.599
2025-03-31,8.054761904761905,0.1457142857142857
2025-04-30,19.48909090909091,0.1740909090909091
2025-05-31,25.439545454545453,-0.0154545454545454
2025-06-30,25.769523809523808,0.0942857142857142
2025-07-31,26.065217391304348,-0.0347826086956521
2025-08-31,25.436666666666667,-0.5700000000000001
