bank_name,date,year_month,failed,processing_timestamp,ROA,Capital_Ratio,NPL_Ratio,Cost_Income_Ratio,ROE,Liquid_Assets_Ratio,Loan_Deposit_Ratio,Net_Open_FX_Ratio,WAR,CAMELS_Net_Interest_Income_Ratio,CAMELS_Interest_Income_Ratio,CAMELS_Interest_Expense_Ratio,CAMELS_Net_Interest_Margin,CAMELS_Net_Commission_Income_Ratio,CAMELS_Commission_Income_Ratio,CAMELS_Total_Equity_Ratio,CAMELS_Common_Equity_Ratio,CAMELS_Equity_Multiplier,CAMELS_Provisions_Ratio,CAMELS_Loan_Loss_Provision_Ratio,CAMELS_Loan_Asset_Ratio,CAMELS_Cash_Ratio,CAMELS_Deposit_Ratio,CAMELS_Loan_Deposit_Ratio,CAMELS_Cash_Deposit_Ratio,CAMELS_Operating_Expense_Ratio,CAMELS_Commission_Expense_Ratio,CAMELS_Cost_of_Deposits,CAMELS_Net_Interest_Expense_Ratio,CAMELS_Asset_Turnover,CAMELS_Income_Diversity_Ratio,CAMELS_Profit_Margin,CAMELS_Deposits_Assets_Ratio,CAMELS_Wholesale_Funding_Ratio,assets_total_assets,liabilities_total_liabilities,equity_total_equity_capital,financial_results_profit_loss_after_tax
A-Bank,2019-01-01,2019-01,0,2025-08-01T15:52:46.157061,0.0946245290808339,0.1567786727863007,-0.2700537605623286,0.5129652109323226,0.6035548547461754,0.03139447397283666,0.9458250713249181,0,0.4682644173873084,0.2075769746541205,0.2852162267451384,0.07763925209101795,0.2075769746541205,0.03196674580601481,0.04536592813408248,0.1567786727863007,0.05584379041874863,6.378418583521647,-0.16210407466442783,-0.26699009378493427,0.600265940851485,0.03139447397283666,0.9317748827919972,0.9458250713249181,0.049467541907251396,0.13432031226433327,0.01339918232806767,0.1139880861899501,-0.30475953130234157,0.26185072476982196,0.16087998093523992,0.36136821528377633,0.6346479481778046,0.0682251172080028,5787419.47093,3941911.24949,907343.94351,547631.84203
A-Bank,2019-02-01,2019-02,0,2025-08-01T15:52:46.157061,0.00804088830288035,0.18987584090749396,-0.14683412349843822,0.3668010750586413,0.04234813794345648,0.03368993372141582,0.9735787099123424,0,0.46560923894566547,0.014571839554501993,0.02131612341780138,0.006744283863299386,0.014571839554501993,0.004770308910892679,0.0068264846465701055,0.18987584090749396,0.056571892460491234,5.266599453730358,-0.09646600029824569,-0.1397139040351788,0.6569726300662784,0.03368993372141582,0.9455532104385006,0.9735787099123424,0.04992567529977519,0.0077475519247116225,0.002056175735677426,0.009450300231547816,-0.020418514627677496,0.021121944431250657,0.26311960559368003,0.38068882952762506,0.674801763203542,0.05444678956149944,5712933.15361,4077081.35572,1084747.98659,45937.05737
A-Bank,2019-03-01,2019-03,0,2025-08-01T15:52:46.157061,0.00857141675295028,0.18572006050980008,-0.15050060294306356,0.4901589476176369,0.046152347406208084,0.029938930593913258,0.9642593949167417,0,0.49117780436888564,0.026476045342262316,0.03994315469756037,0.013467109355298053,0.026476045342262316,0.00951436673551288,0.013235068283983447,0.18572006050980008,0.05540824970851925,5.384447954922091,-0.09800785376991035,-0.14484958706912315,0.6512123662852571,0.029938930593913258,0.9428676467830293,0.9642593949167417,0.04433099952265862,0.019323298769556147,0.0037207015484705653,0.018801667165006728,-0.036963670468377625,0.039422515621667,0.28105152491828345,0.21742439866621158,0.6753497759194615,0.05713235321697075,5832911.91655,4177951.98429,1083288.75409,49996.31892
A-Bank,2019-04-01,2019-04,0,2025-08-01T15:52:46.157061,0.015043732583598061,0.16131925178374365,-0.263104389624581,0.47297983688693934,0.09325441580751268,0.03626267671004975,0.9395922941889643,0,0.4600163396128806,0.0450429546540096,0.06437402485685424,0.019331070202844632,0.045042954654009607,0.011061233396481024,0.016034531426536946,0.16131925178374365,0.05178691693185431,6.198888160853541,-0.16028975632940592,-0.25968761567046755,0.6092249413174768,0.03626267671004975,0.9557804785630558,0.9395922941889643,0.0559270136408825,0.029331424613577777,0.004973298030055921,0.028495470067124423,-0.0663967464092753,0.062014112074272494,0.2137554389075133,0.2425856322119169,0.648392866869291,0.044219521436944235,6240793.21859,4233697.90166,1006760.09256,93884.8242900002
A-Bank,2019-05-01,2019-05,0,2025-08-01T15:52:46.157061,0.021520190244483223,0.12449923886141946,-0.26397665496264294,0.4764981697808683,0.1728539904443707,0.035604188803862576,0.9594605624138943,0,0.4716360280481824,0.05962338194856833,0.08502335793107814,0.025399975982509804,0.05962338194856833,0.014517635161132528,0.020783290283605982,0.12449923886141946,0.05019229425646195,8.032177619279292,-0.16183660330337996,-0.2607031224209062,0.6130716495603844,0.035604188803862576,0.8953446013942585,0.9594605624138943,0.055720754725063826,0.03879469430451977,0.006265655122473454,0.03559093686291978,-0.08354543421405093,0.08141625039684969,0.21199353279619979,0.26432303305036414,0.638975350917984,0.10465539860574152,6439064.89607,4595329.82624,801658.67854,138569.90156
A-Bank,2019-06-01,2019-06,0,2025-08-01T15:52:46.157061,0.02771862495252397,0.13340264944487984,-0.26578455086988506,0.4780933271923789,0.20778166751460905,0.03319264254805276,0.9685028095163641,0,0.46922397683443573,0.07745166095489434,0.1118557295014457,0.03440406854655139,0.07745166095489432,0.018855131126411434,0.02749653822952073,0.13340264944487984,0.05148515667530218,7.496102994664932,-0.17122701721681333,-0.2627840640574256,0.644232392952883,0.03319264254805276,0.9565892911270715,0.9685028095163641,0.04989995522533844,0.0503892665589924,0.008641407103109296,0.04947589348605064,-0.11138188852684901,0.10539629752815265,0.21212812086947141,0.2629942948908616,0.6651838142571728,0.04341070887292855,6277371.20503,4365097.70745,837417.9503,174000.09812
A-Bank,2019-07-01,2019-07,0,2025-08-01T15:52:46.157061,0.025795350701781978,0.12888943313078333,-0.2803843146214762,0.49628633822226487,0.200135496566329,0.037248653481754254,0.9530734354138305,0,0.46902541262242425,0.0915832936928454,0.13266106318993184,0.04107776949708644,0.09158329369284542,0.021198517248796258,0.03101559747344636,0.12888943313078333,0.05018992174415672,7.7585879285023,-0.1766657152751657,-0.27462118190354573,0.6300841597136685,0.037248653481754254,0.9519944888987069,0.9530734354138305,0.05634279419836167,0.060785031539087465,0.0098170802246501,0.05915195339528433,-0.13187986559713444,0.12247975988382842,0.2049414374487955,0.21060908942219325,0.6611076715616168,0.04800551110129319,6439369.27512,4471786.84062,829966.65559,166105.78875
A-Bank,2019-08-01,2019-08,0,2025-08-01T15:52:46.157061,0.0288180684350568,0.12882037434382404,-0.2924160274862891,0.5123682091889437,0.22370737999985021,0.03189052934122881,0.9384243402207982,0,0.469724615420509,0.10661121416197937,0.15404029940900632,0.04742908524702694,0.10661121416197937,0.02401683965120896,0.03542751120573555,0.12882037434382404,0.04874257080399644,7.762747198133278,-0.18056569686604287,-0.2869831080624393,0.6174958958927425,0.03189052934122881,0.9527950199223547,0.9384243402207982,0.048464854836108705,0.07249320013570383,0.011410671554526589,0.06867669948406138,-0.15437165356445753,0.14148653026396268,0.20252033390765423,0.20368064989149645,0.6580135120402506,0.0472049800776453,6630578.45881,4579169.83959,854153.59918,191080.46379
A-Bank,2019-09-01,2019-09,0,2025-08-01T15:52:46.157061,0.03378180056033895,0.13060404868899522,-0.3162598846238423,0.48937289898779635,0.25865814191398356,0.03393025444364323,0.93864388246841,0,0.45702934891497937,0.12563847505947617,0.1789288068285409,0.05329033176906471,0.1256384750594762,0.026321377856869183,0.038918396857685195,0.13060404868899522,0.047073658527197464,7.656730476872733,-0.1923157421593563,-0.310891463888419,0.6080940122649305,0.03393025444364323,0.9568189176697034,0.93864388246841,0.05237418083677296,0.08013247145901355,0.012597019000816018,0.07870608393034428,-0.18555921936766637,0.16374521683721566,0.1919523485739014,0.20630709838640668,0.6478431528960568,0.04318108233029658,6865653.74589,4648598.274230001,896682.17611,231934.14556
A-Bank,2019-10-01,2019-10,0,2025-08-01T15:52:46.157061,0.035638588844307845,0.12952485887364776,-0.31807953647610415,0.48733669032335025,0.2751486406101666,0.036641955200706226,0.9857495363277168,0,0.4558576284196033,0.13963956822479798,0.19872281984075776,0.059083251615959786,0.13963956822479798,0.029338396632882763,0.04317071038349163,0.12952485887364776,0.07120095262869082,7.720525686698534,-0.1995667694417584,-0.31365403657523294,0.6274115325138213,0.036641955200706226,0.9486864653989703,0.9857495363277168,0.05756953526900854,0.08864558447387781,0.013832313750608864,0.08806456158477612,-0.20813508091153324,0.18189803114364533,0.19269538707057082,0.1959261934845461,0.636481691740036,0.05131353460102969,7053838.20662,4732479.105330001,913647.39823,251388.83962
